4.472117121068208689e-15,-1.399574900418087964e-14,6.202702702702702453e+01,2.325824175824175484e+02,4.396551724137929540e+01,3.642857142857148034e+01,5.919642857142861203e+01,2.684210526315792222e+01,1.565789473684210691e+02,5.100000000000000000e+01
9.807692307692311928e+00,-1.399574900418087964e-14,4.364864864864864558e+01,2.409890109890109784e+02,6.594827586206895376e+01,2.732142857142862269e+01,4.098214285714289673e+01,1.789473684210528859e+01,1.565789473684210691e+02,1.121999999999999886e+02
2.550000000000000355e+01,3.669064748201424919e+00,3.445945945945945965e+01,2.493956043956043800e+02,8.793103448275860501e+01,1.821428571428576504e+01,3.642857142857146613e+01,4.473684210526343463e+00,1.386842105263158089e+02,1.886999999999999886e+02
4.903846153846154010e+01,1.100719424460430318e+01,2.986486486486486314e+01,2.437912087912087600e+02,9.672413793103447688e+01,4.553571428571478563e+00,4.098214285714289673e+01,2.758904216193514003e-14,1.028947368421052886e+02,2.396999999999999886e+02
6.865384615384616041e+01,1.651079136690646010e+01,2.067567567567567366e+01,2.353846153846153584e+02,1.099137931034482563e+02,4.998085278984376600e-14,3.642857142857146613e+01,4.473684210526343463e+00,8.500000000000002842e+01,2.498999999999999773e+02
9.415384615384614619e+01,2.384892086330933836e+01,1.837837837837837540e+01,2.213736263736263652e+02,1.362931034482758434e+02,9.107142857142907388e+00,1.821428571428575083e+01,8.947368421052658505e+00,8.052631578947371338e+01,2.396999999999999886e+02
1.275000000000000000e+02,3.485611510791365930e+01,1.837837837837837540e+01,1.905494505494505404e+02,1.626724137931034306e+02,3.187500000000005329e+01,4.553571428571463464e+00,8.947368421052658505e+00,7.157894736842108330e+01,2.243999999999999773e+02
1.490769230769230660e+02,4.769784172661869093e+01,1.148648648648648241e+01,1.653296703296703072e+02,1.758620689655172384e+02,4.553571428571434154e+01,3.416711358283919253e-14,4.473684210526343463e+00,5.815789473684213107e+01,2.141999999999999886e+02
1.902692307692307736e+02,5.687050359712229408e+01,-4.246603069191223767e-15,1.317032967032967008e+02,2.110344827586206691e+02,5.919642857142862624e+01,9.107142857142891401e+00,8.947368421052658505e+00,4.473684210526318594e+01,1.835999999999999943e+02
2.177307692307692264e+02,7.154676258992805060e+01,-4.246603069191223767e-15,9.527472527472527020e+01,2.286206896551724128e+02,7.741071428571434865e+01,9.107142857142891401e+00,8.947368421052658505e+00,4.026315789473687090e+01,1.580999999999999943e+02
